TimeStamp,Structure ID,Ground Speed(kt),Target,Desired Heading (deg),Sub Heading,POG (deg),Float Temp(degC),Pressure Sensor Float(kPa),Battery (Wh),Signal Strength,User Name,Lat (deg),Lon (deg),Distance Over Ground(m),Water Speed (kt/1000) WS,Water Direction,Current Speed (kt),Current Heading (deg),Created On,,
12.11.2016 7:51 AM,Telemetry6,0.048596,42,171,170,33,24,114,654.75,3,System Admin,27.99238,-15.36850,3,0,169,,,12.11.2016 7:52 AM, ,
12.11.2016 7:49 AM,Telemetry6,0.024298,42,170,169,156,24,114,654.96,5,System Admin,27.99236,-15.36852,3,0,169,,,12.11.2016 7:49 AM, ,
12.11.2016 7:47 AM,Telemetry6,0.032397,42,171,170,336,24,114,655.21,0,System Admin,27.99237,-15.36851,4,0,169,,,12.11.2016 7:48 AM, ,
12.11.2016 7:45 AM,Telemetry6,-0.080994,42,170,169,261,24,114,655.35,3,System Admin,27.99237,-15.36852,5,0,169,,,12.11.2016 7:48 AM, ,
12.11.2016 7:43 AM,Telemetry6,0.080994,42,171,171,55,25,114,655.35,4,System Admin,27.99236,-15.36851,5,0,169,,,12.11.2016 7:44 AM, ,
12.11.2016 7:41 AM,Telemetry6,0.064795,42,307,172,216,25,115,655.35,4,System Admin,27.99235,-15.36852,4,0,169,,,12.11.2016 7:42 AM, ,
12.11.2016 7:39 AM,Telemetry6,0.113391,42,307,172,209,25,114,655.35,4,System Admin,27.99236,-15.36851,7,0,169,,,12.11.2016 7:40 AM, ,
12.11.2016 7:37 AM,Telemetry6,0.12959,42,307,170,50,25,115,655.35,3,System Admin,27.99240,-15.36849,8,0,169,,,12.11.2016 7:38 AM, ,
12.11.2016 7:35 AM,Telemetry6,0.097192,42,307,171,22,25,115,655.35,5,System Admin,27.99238,-15.36851,6,0,169,,,12.11.2016 7:36 AM, ,
12.11.2016 7:33 AM,Telemetry6,0.097192,42,307,171,196,25,115,655.35,4,System Admin,27.99236,-15.36852,6,0,169,,,12.11.2016 7:33 AM, ,
12.11.2016 7:31 AM,Telemetry6,0.161987,42,307,171,38,25,115,655.35,5,System Admin,27.99239,-15.36851,10,0,168,,,12.11.2016 7:32 AM, ,
12.11.2016 7:29 AM,Telemetry6,0.161987,42,307,28,13,25,115,655.35,0,System Admin,27.99238,-15.36853,10,0,30,,,12.11.2016 7:30 AM, ,
12.11.2016 7:27 AM,Telemetry6,0.161987,42,307,29,131,25,115,655.35,2,System Admin,27.99233,-15.36854,10,0,30,,,12.11.2016 7:30 AM, ,
12.11.2016 7:25 AM,Telemetry6,0.178186,42,307,29,207,25,115,655.35,3,System Admin,27.99234,-15.36855,11,0,30,,,12.11.2016 7:26 AM, ,
12.11.2016 7:23 AM,Telemetry6,0.226782,42,307,29,51,25,115,655.35,0,System Admin,27.99236,-15.36854,14,0,29,,,12.11.2016 7:24 AM, ,
12.11.2016 7:21 AM,Telemetry6,0.12959,42,307,28,208,25,115,655.35,0,System Admin,27.99235,-15.36857,8,0,29,,,12.11.2016 7:24 AM, ,
12.11.2016 7:19 AM,Telemetry6,0.145788,42,307,28,350,25,115,655.35,4,System Admin,27.99239,-15.36854,9,0,30,,,12.11.2016 7:22 AM, ,
12.11.2016 7:17 AM,Telemetry6,0.12959,42,307,29,90,25,115,655.35,5,System Admin,27.99235,-15.36853,8,0,30,,,12.11.2016 7:17 AM, ,
12.11.2016 7:15 AM,Telemetry6,0.064795,42,307,29,264,25,115,655.35,4,System Admin,27.99235,-15.36855,8,0,30,,,12.11.2016 7:15 AM, ,
12.11.2016 7:13 AM,Telemetry6,0.072894,42,307,30,172,25,115,655.35,0,System Admin,27.99235,-15.36856,9,0,30,,,12.11.2016 7:14 AM, ,
