TimeStamp,Weather Station,Temperature(degC),Wind Speed(kt),Wind Gust Speed(kt),Wind Direction,Pressure(mb),Latitude,Longitude,,
11.11.2016 11:10 , ,21.9 ,11.2 ,17.6 ,351.8 ,1025.1
11.11.2016 11:00 , ,22.3 ,8.3 ,17 ,345.8 ,1025.3
11.11.2016 10:50 , ,21.7 ,9.2 ,17.5 ,354.8 ,1025.2
11.11.2016 10:40 , ,21.6 ,5.5 ,17 ,3.6 ,1025
11.11.2016 10:30 , ,21.8 ,3.8 ,15.2 ,328.2 ,1025.3
11.11.2016 10:20 , ,21.8 ,4.4 ,12 ,152.4 ,1026
11.11.2016 10:10 , ,21.1 ,6.5 ,14 ,126.5 ,1025.6
11.11.2016 9:50 , ,21.1 ,6.3 ,16.4 ,113.2 ,1024.8
11.11.2016 9:40 , ,21 ,5.3 ,14.2 ,116 ,1025
11.11.2016 9:30 , ,20.8 ,4.9 ,10.9 ,114.1 ,1025.3
10.11.2016 17:00 , ,21.8 ,8.3 ,14.1 ,22.4 ,1025.5
10.11.2016 16:50 , ,22 ,7.6 ,14.5 ,22.1 ,1025.1
10.11.2016 16:40 , ,22.5 ,8.2 ,14.2 ,20.1 ,1024.9
10.11.2016 16:30 , ,22.6 ,8.4 ,13.5 ,21.1 ,1025.1
10.11.2016 16:20 , ,22.6 ,8 ,13.3 ,21.3 ,1025.5
10.11.2016 16:10 , ,22.5 ,8.6 ,14.2 ,20.7 ,1025.2
10.11.2016 16:00 , ,22.5 ,8.8 ,14.6 ,18.2 ,1025.5
10.11.2016 15:50 , ,22.7 ,7.9 ,14.3 ,12.5 ,1025.6
10.11.2016 15:40 , ,22.6 ,8 ,13.9 ,14.5 ,1025.7
10.11.2016 15:30 , ,22.6 ,7.6 ,13.4 ,13.9 ,1026.6
10.11.2016 15:20 , ,22.7 ,7.4 ,13.4 ,13.6 ,1025.8
10.11.2016 15:10 , ,22.7 ,7.9 ,13.5 ,16.4 ,1026.5
10.11.2016 15:00 , ,22.6 ,9.1 ,14.1 ,19 ,1026.2
10.11.2016 14:50 , ,22.9 ,8.8 ,15.5 ,16.9 ,1026.8
10.11.2016 14:40 , ,23.1 ,7.9 ,13.4 ,15.3 ,1026
10.11.2016 14:30 , ,23.1 ,7.9 ,14.3 ,16.2 ,1026.4
10.11.2016 14:20 , ,23 ,7.5 ,11.8 ,16.7 ,1026.7
10.11.2016 14:10 , ,22.9 ,7.7 ,12 ,16.8 ,1026.9
10.11.2016 14:00 , ,22.7 ,7.7 ,12.7 ,15.2 ,1027
10.11.2016 13:50 , ,22.6 ,7.2 ,11.9 ,15.1 ,1028.1
