TimeStamp,Weather Station,Temperature(degC),Wind Speed(kt),Wind Gust Speed(kt),Wind Direction,Pressure(mb),Latitude,Longitude,,
21.02.2017 4:00 AM, ,20,13.7,18.7,39.5,1017.5,17.19932,-21.95169, ,
21.02.2017 3:50 AM, ,20.1,14.2,19.7,38.5,1017.6,17.19815,-21.95434, ,
21.02.2017 3:40 AM, ,20.9,13.2,18.5,38.9,1017.6,17.19668,-21.95559, ,
21.02.2017 3:30 AM, ,21.3,13.2,18,39.6,1017.6,17.20052,-21.95798, ,
21.02.2017 3:20 AM, ,22.6,12.3,20.4,43.8,1017.6,17.20421,-21.96062, ,
21.02.2017 3:10 AM, ,23.9,2.3,7.4,277.4,1018.2,17.20633,-21.96187, ,
21.02.2017 3:00 AM, ,22.2,4,10.8,23.5,1018.4,17.20633,-21.96189, ,
21.02.2017 2:50 AM, ,21.4,5.3,11.5,43.5,1018.3,17.20610,-21.96218, ,
21.02.2017 2:40 AM, ,21.3,5.6,11.9,43.9,1018.1,17.20603,-21.96205, ,
21.02.2017 2:30 AM, ,21.3,5.4,12.4,40,1018.2,17.20613,-21.96214, ,
21.02.2017 2:20 AM, ,21.1,5.4,11,43.2,1018,17.20622,-21.96239, ,
21.02.2017 2:10 AM, ,20.7,6.6,14,39.9,1017.8,17.20621,-21.96228, ,
21.02.2017 2:00 AM, ,20.4,5.6,14.2,37.3,1017.9,17.20629,-21.96214, ,
21.02.2017 1:50 AM, ,20.3,13.4,20.4,329.5,1017.7,17.20209,-21.96593, ,
21.02.2017 1:40 AM, ,20.4,13.9,21.6,341.3,1016.9,17.21623,-21.99444, ,
21.02.2017 1:30 AM, ,20.7,11.9,20.8,339.9,1016.8,17.23650,-22.02157, ,
21.02.2017 1:20 AM, ,20.6,6.9,17.4,29.2,1017,17.25105,-22.04476, ,
21.02.2017 1:10 AM, ,20.6,6,13,35.5,1016.8,17.24762,-22.04595, ,
21.02.2017 1:00 AM, ,20.2,6.1,14.1,33.8,1016.6,17.24538,-22.04429, ,
21.02.2017 12:50 AM, ,19.8,6.4,13.5,36.4,1016.4,17.24307,-22.04259, ,
21.02.2017 12:40 AM, ,19.7,5.9,13,40.2,1016.3,17.24076,-22.04092, ,
21.02.2017 12:30 AM, ,19.6,5.8,13,38.7,1015.9,17.23856,-22.03929, ,
21.02.2017 12:20 AM, ,19.6,6,13.9,40.2,1016,17.23624,-22.03764, ,
21.02.2017 12:10 AM, ,19.5,5.6,13.4,41.8,1016,17.23390,-22.03595, ,
21.02.2017 12:00 AM, ,19.5,5.8,11.3,42.3,1015,17.23147,-22.03406, ,
20.02.2017 11:50 PM, ,19.5,5.6,13.8,41.1,1015.4,17.22944,-22.03267, ,
20.02.2017 11:40 PM, ,19.4,5.6,14.9,41.9,1016.2,17.22718,-22.03101, ,
20.02.2017 11:30 PM, ,19.3,6.3,13.9,36.6,1015.7,17.22476,-22.02916, ,
20.02.2017 11:20 PM, ,19.4,6.4,13.2,35.9,1015.5,17.22474,-22.02914, ,
20.02.2017 11:10 PM, ,19.4,5.9,13.3,33.1,1015.6,17.22474,-22.02916, ,
20.02.2017 11:00 PM, ,19.4,5.7,13.7,40.2,1015.7,17.22463,-22.02904, ,
20.02.2017 10:50 PM, ,19.4,5.9,12.8,43.8,1015.3,17.22275,-22.02771, ,
20.02.2017 10:40 PM, ,19.4,5.6,12,43.5,1015.4,17.22050,-22.02595, ,
20.02.2017 10:30 PM, ,19.5,6.2,12.2,40.6,1015.5,17.21835,-22.02445, ,
20.02.2017 10:20 PM, ,19.6,5.5,11.3,36.4,1015.8,17.21797,-22.02416, ,
20.02.2017 10:10 PM, ,19.5,5.7,12.9,36.4,1015.7,17.21798,-22.02416, ,
